Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside Normal Observation?,Notes
3/20/2017 12:01:46,Start,Start,Start,Start,CN,,
3/20/2017 12:09:24,3,Chasing,4,LR,CN,,
3/20/2017 12:18:58,3,Fighting,9,NB3,CN,,
3/20/2017 12:19:13,3,Fighting,8,NB3,CN,,
3/20/2017 12:19:34,3,Fighting,8,NB4,CN,,
3/20/2017 12:21:00,3,Chasing,12,LR,CN,,
3/20/2017 12:21:27,3,Fighting,1,LL,CN,,
3/20/2017 12:24:32,3,Chasing,2,LR,CN,,
3/20/2017 12:34:54,8,Fighting,12,NB5,CN,,
3/20/2017 12:39:44,3,Fighting,6,LL,CN,,
3/20/2017 12:45:49,8,Fighting,4,NB4,CN,,
3/20/2017 12:49:17,8,Fighting,12,NB4,CN,,
3/20/2017 12:50:27,8,Fighting,12,NB1,CN,,
3/20/2017 12:52:37,3,Fighting,8,NB3,CN,,
3/20/2017 12:55:46,3,Fighting,2,LR,CN,,
3/20/2017 12:59:52,3,Fighting,"1, 6",LR,CN,,
3/20/2017 13:01:25,3,Fighting,12,NB3,CN,,
3/20/2017 13:01:47,3,Fighting,10,NB3,CN,,
3/20/2017 13:01:58,3,Fighting,5,NB3,CN,,
3/20/2017 13:08:47,3,Chasing,5,LL,CN,,
3/20/2017 13:10:07,3,Chasing,5,UR,CN,,
3/20/2017 13:15:56,9,Chasing,6,LR,CN,,
3/20/2017 13:18:34,3,Chasing,11,UR,CN,,
3/20/2017 13:21:58,3,Fighting,1,UL,CN,,
3/20/2017 13:28:28,3,Fighting,11,NB1,CN,,
3/20/2017 13:29:02,3,Fighting,"10, 11",NB5,CN,,
3/20/2017 13:31:38,3,Fighting,11,NB4,CN,,
3/20/2017 13:34:09,"1, 12",Fighting,"1, 12",LR,CN,,Draw
3/20/2017 13:43:09,3,Fighting,"2, 12",NB5,CN,,
3/20/2017 13:43:27,3,Chasing,10,NB1,CN,,
3/20/2017 13:47:15,3,Subordinate,8,LR,CN,,
3/20/2017 13:48:33,8,Fighting,1,LR,CN,,
3/20/2017 13:49:26,8,Fighting,1,LR,CN,,
3/20/2017 13:53:56,8,Fighting,1,LR,CN,,
3/20/2017 13:54:23,8,Fighting,5,LL,CN,,
3/20/2017 13:55:23,3,Fighting,12,LR,CN,,
3/20/2017 14:01:35,3,Fighting,1,NB1,CN,,
3/20/2017 14:02:18,End,End,End,End,CN,,
3/20/2017 14:06:09,Start,Start,Start,Start,CW,,
3/20/2017 14:09:21,3,Fighting,12,LR,CW,,
3/20/2017 14:10:31,10,Fighting,8,NB1,CW,,
3/20/2017 14:11:00,10,Fighting,1,NB4,CW,,
3/20/2017 14:11:27,10,Fighting,5,NB3,CW,,
3/20/2017 14:11:45,9,Fighting,10,NB3,CW,,
3/20/2017 14:12:02,9,Fighting,10,NB4,CW,,
3/20/2017 14:13:52,12,"Fighting, Chasing",10,LR,CW,,
3/20/2017 14:14:18,12,"Fighting, Chasing",11,NB1,CW,,
3/20/2017 14:15:08,12,Fighting,1,NB5,CW,,
3/20/2017 14:16:00,9,Fighting,1,NB4,CW,,
