Timestamp,Date that smears were taken,Cohort,Mouse ID,Estrus State,Notes
7/5/2017 9:46,2/20/2017,87,1,Estrus,
7/5/2017 10:29,2/20/2017,87,2,Metestrus,Between diestrus and metestrus
7/5/2017 10:32,2/20/2017,87,3,Proestrus,
7/5/2017 10:38,2/20/2017,87,4,Estrus,
7/5/2017 10:45,2/20/2017,87,5,Diestrus,mostly diestrus but a few proestrus cells
7/5/2017 11:07,2/20/2017,87,6,No smear/Not clear (elaborate in notes),
7/5/2017 11:25,2/20/2017,87,7,Diestrus,Mostly diestrus with a couple of proestrus cells. Very little smear.
7/5/2017 11:31,2/20/2017,87,8,Estrus,
7/5/2017 11:37,2/20/2017,87,9,Estrus,
7/5/2017 12:12,2/20/2017,87,10,Estrus,between proestrus and estrus
7/5/2017 12:16,2/20/2017,87,11,Proestrus,between proestrus and estrus
7/5/2017 12:26,2/20/2017,87,12,Estrus,
7/5/2017 12:29,2/20/2017,88,1,Estrus,
7/5/2017 12:30,2/20/2017,88,2,Proestrus,between diestrus and proestrus
7/5/2017 12:32,2/20/2017,88,3,Estrus,
7/5/2017 12:36,2/20/2017,88,4,Diestrus,Between diestrus and proestrus but leaning towards to diestrus state.
7/5/2017 13:50,2/20/2017,88,5,Proestrus,Between proestrus and estrus. Not necessarily favoring either.
7/5/2017 12:50,2/20/2017,88,6,Estrus,Late proestrus
7/5/2017 12:53,2/20/2017,88,7,Estrus,
7/5/2017 12:57,2/20/2017,88,8,Estrus,Between estrus and proestrus
7/5/2017 13:18,2/20/2017,88,9,Metestrus,
7/5/2017 13:20,2/20/2017,88,10,Metestrus,
7/5/2017 13:25,2/20/2017,88,11,Proestrus,Early estrus
7/5/2017 13:27,2/20/2017,88,12,Proestrus,Very early estrus
7/5/2017 13:31,2/21/2017,87,1,Estrus,
7/5/2017 13:32,2/21/2017,87,2,Metestrus,
7/5/2017 13:38,2/21/2017,87,3,Estrus,Late proestrus?
7/5/2017 13:47,2/21/2017,87,4,Estrus,
7/5/2017 13:54,2/21/2017,87,5,Proestrus,Between diestrus and proestrus
7/5/2017 13:57,2/21/2017,87,6,Estrus,early metestrus
7/5/2017 14:03,2/21/2017,87,7,Proestrus,early estrus
7/5/2017 14:06,2/21/2017,87,8,Estrus,
7/5/2017 14:08,2/21/2017,87,9,Estrus,
7/5/2017 14:16,2/21/2017,87,10,Estrus,
7/5/2017 14:19,2/21/2017,87,11,Estrus,
7/5/2017 14:19,2/21/2017,87,12,Estrus,
7/5/2017 14:21,2/21/2017,88,1,Estrus,
7/5/2017 14:27,2/21/2017,88,2,No smear/Not clear (elaborate in notes),
7/5/2017 14:28,2/21/2017,88,3,Estrus,
7/5/2017 14:31,2/21/2017,88,4,Proestrus,proestrus-estrus
7/5/2017 14:33,2/21/2017,88,5,Estrus,
7/5/2017 14:37,2/21/2017,88,6,Estrus,
7/5/2017 14:44,2/21/2017,88,7,Metestrus,
7/5/2017 14:47,2/21/2017,88,8,Estrus,
7/5/2017 14:49,2/21/2017,88,9,Metestrus,
7/5/2017 14:53,2/21/2017,88,10,Estrus,between proestrus and estrus
7/5/2017 14:59,2/21/2017,88,11,Proestrus,Between proestrus and estrus
7/5/2017 15:00,2/21/2017,88,12,Estrus,
7/5/2017 15:05,2/21/2017,89,1,No smear/Not clear (elaborate in notes),
7/5/2017 15:06,2/21/2017,89,2,Estrus,
7/5/2017 15:08,2/21/2017,89,3,Metestrus,Between metestrus and diestrus
7/5/2017 15:09,2/21/2017,89,4,No smear/Not clear (elaborate in notes),it is really not clear
7/5/2017 15:10,2/21/2017,89,5,Estrus,
7/5/2017 15:15,2/21/2017,89,6,Estrus,
7/5/2017 15:18,2/21/2017,89,7,Proestrus,between proestrus and estrus
7/5/2017 15:19,2/21/2017,89,8,Estrus,
7/5/2017 15:22,2/21/2017,89,9,Proestrus,proestrus-estrus
7/5/2017 15:22,2/21/2017,89,10,Estrus,
7/5/2017 15:23,2/21/2017,89,11,Estrus,
7/5/2017 15:24,2/21/2017,89,12,Estrus,
7/5/2017 15:27,2/21/2017,90,1,Metestrus,estrus---metestrus
7/5/2017 15:32,2/21/2017,90,2,Estrus,
7/5/2017 15:35,2/21/2017,90,3,Estrus,
7/5/2017 15:37,2/21/2017,90,4,Estrus,
7/5/2017 15:39,2/21/2017,90,5,Estrus,early metestrus
7/5/2017 15:40,2/21/2017,90,6,Estrus,proestrus---estrus
7/5/2017 15:41,2/21/2017,90,7,No smear/Not clear (elaborate in notes),In the middle of proestrus and estrus... not a clear state
7/5/2017 15:43,2/21/2017,90,8,Metestrus,
7/5/2017 15:45,2/21/2017,90,9,Estrus,between estrus and metestrus
