Mouse,Cohort,E,CORT
87-3,87,47.451,112.57
87-5,87,44.764,389.1
87-8,87,33.988,318.47
87-9,87,30.362,262.79
88-3,88,35.739,139.85
88-6,88,24.962,145.14
88-10,88,25.338,135.64
88-11,88,40.749,370.61
89-1,89,39.576,190.24
89-3,89,28.079,57.972
89-4,89,33.953,360.56
89-5,89,32.039,84.564
90-1,90,39.373,150.5
90-4,90,31.678,265.16
90-8,90,42.876,162.08
90-10,90,37.867,206.44
90-11,90,35.137,331.18
91-1,91,34.871,194.47
91-3,91,50.268,223.47
91-4,91,20.422,290.63
91-10,91,32.214,160.59
91-12,91,28.325,84.408
92-1,92,28.493,131.8
92-5,92,43.625,24.78
92-9,92,33.875,114.45
92-12,92,29.552,262.97
93-1,93,11.219,96.534
93-5,93,11.928,401.46
93-9,93,11.552,106.61
93-12,93,28.353,228.62
94-4,94,37.344,249.7
94-5,94,36.105,164.8
94-10,94,32.431,91.036
94-11,94,26.791,223.55
