"Timestamp","Actor","Behavior","Recipient","Location","Observer","Notes"
"1/5/2015 11:00:44","Start","Start","Start","Start","BN",""
"1/5/2015 11:03:17","6, 8","Fighting","6, 8","NB4","BN",""
"1/5/2015 11:07:09","10","Mounting","2","UR","BN",""
"1/5/2015 11:11:44","4","Mounting","10","UL","BN",""
"1/5/2015 11:13:37","4","Mounting","10","UR","BN",""
"1/5/2015 11:17:54","4","Mounting","8","UR","BN",""
"1/5/2015 11:18:19","4","Fighting, Mounting","10","UR","BN",""
"1/5/2015 11:19:27","8","Mounting","10","UL","BN",""
"1/5/2015 11:19:54","8","Mounting","10","UR","BN",""
"1/5/2015 11:21:30","4","Fighting","7","NB5","BN",""
"1/5/2015 11:22:10","4","Fighting","10","NB5","BN",""
"1/5/2015 11:24:50","10","Mounting","2","LL","BN",""
"1/5/2015 11:25:41","10","Mounting","2","LL","BN",""
"1/5/2015 11:26:02","4, 6","Fighting","4, 6","NB2","BN",""
"1/5/2015 11:26:16","3","Mounting","8","NB5","BN",""
"1/5/2015 11:28:45","6, 8","Fighting","6, 8","NB2","BN",""
"1/5/2015 11:29:07","4","Fighting","10","NB4","BN",""
"1/5/2015 11:34:54","3","Fighting","4","LL","BN",""
"1/5/2015 11:38:43","4","Fighting","8","UR","BN",""
"1/5/2015 11:41:08","1","Fighting","10","NB5","BN",""
"1/5/2015 11:41:51","1","Induce-flee","12","NB5","BN",""
"1/5/2015 11:45:39","3","Fighting","8","LL","BN",""
"1/5/2015 12:00:23","End","End","End","End","BN",""
"1/6/2015 10:00:53","Start","Start","Start","Start","WL",""
"1/6/2015 10:08:05","6","Chasing","12","LL","WL",""
"1/6/2015 10:09:28","6","Chasing","8","LR","WL",""
"1/6/2015 10:23:16","8","Fighting, Chasing, Subordinate","2","NB1","WL","hmmm not too much aggression... they are just actively hanging out"
"1/6/2015 10:31:55","6","Fighting, Subordinate","5, 7, 12","NB5","WL",""
"1/6/2015 10:42:31","6","Fighting, Chasing","1","UR","WL",""
"1/6/2015 10:43:51","2","Fighting, Chasing","12","LR","WL",""
"1/6/2015 10:48:15","10","Chasing","7","UR","WL",""
