Timestamp,Actor,Behavior,Recipient,Location,Observer,Notes
1/25/2015 11:58:12,Start,Start,Start,Start,WL,
1/25/2015 12:21:04,9,"Chasing, Mounting, Subordinate",8,LL,WL,
1/25/2015 12:21:20,9,"Chasing, Mounting, Subordinate",8,LL,WL,
1/25/2015 13:00:04,End,End,End,End,WL,just casually exploring and sniffing but just no recordable action. all of them were awake .
1/25/2015 14:00:42,Start,Start,Start,Start,BN,
1/25/2015 14:04:55,8,Fighting,4,LL,BN,
1/25/2015 14:11:15,8,Subordinate,4,UR,BN,
1/25/2015 14:14:22,"5, 7",Fighting,"5, 7",UR,BN,
1/25/2015 14:16:29,7,Subordinate,1,UR,BN,
1/25/2015 14:20:15,7,Fighting,5,UR,BN,
1/25/2015 14:23:39,7,Subordinate,5,MR,BN,
1/25/2015 14:26:33,9,Mounting,8,LL,BN,
1/25/2015 14:49:52,7,Subordinate,5,UR,BN,
1/25/2015 14:50:04,7,Fighting,1,UR,BN,
1/25/2015 14:57:23,7,Subordinate,12,UR,BN,
1/25/2015 15:00:24,End,End,End,End,BN,
1/26/2015 13:06:01,Start,Start,Start,Start,AR,
1/26/2015 13:16:20,7,Chasing,6,NB5,AR,
1/26/2015 13:20:30,6,Fighting,11,MR,AR,
1/26/2015 13:22:23,6,"Fighting, Chasing",11,LL,AR,
1/26/2015 13:22:49,6,Chasing,1,NB1,AR,
1/26/2015 13:28:37,6,Chasing,11,UR,AR,
1/26/2015 13:36:27,8,Chasing,4,ML,AR,
1/26/2015 14:01:12,End,End,End,End,AR,
1/26/2015 14:01:39,Start,Start,Start,Start,AP,
1/26/2015 14:15:18,5,Mounting,4,ML,AP,
1/26/2015 14:27:17,7,"Chasing, Mounting",4,LR,AP,
1/26/2015 14:29:21,7,Chasing,8,LL,AP,
1/26/2015 14:30:21,7,Chasing,3,ML,AP,
1/26/2015 14:30:32,5,"Chasing, Mounting",8,ML,AP,
1/26/2015 14:45:38,7,Chasing,10,UR,AP,
1/26/2015 14:46:08,7,Chasing,10,MR,AP,
1/26/2015 14:59:50,7,Chasing,10,LR,AP,
1/26/2015 15:00:02,End,End,End,End,AP,"very inactive, especially in the last hour"
1/27/2015 15:05:19,Start,Start,Start,Start,WL,
1/27/2015 15:13:21,5,"Fighting, Chasing, Subordinate",8,MR,WL,
1/27/2015 15:14:08,5,"Fighting, Chasing",8,LL,WL,
1/27/2015 15:14:36,5,"Fighting, Chasing",8,ML,WL,
1/27/2015 15:15:13,5,"Fighting, Chasing","8, 10",LL,WL,
1/27/2015 15:16:21,5,"Fighting, Chasing",12,NB1,WL,
1/27/2015 15:41:36,7,"Chasing, Mounting",8,UL,WL,
1/27/2015 15:43:32,7,"Fighting, Chasing","8, 10",UL,WL,
1/27/2015 15:48:07,1,Fighting,8,UL,WL,
1/27/2015 15:50:34,7,Chasing,8,UL,WL,
1/27/2015 15:52:47,1,"Fighting, Subordinate",12,NB4,WL,persistent and intense fight
1/27/2015 15:53:06,1,Fighting,3,NB4,WL,3 in the tube
1/27/2015 15:53:55,1,"Fighting, Chasing, Subordinate",12,NB4,WL,
1/27/2015 15:54:03,1,Fighting,8,NB4,WL,
1/27/2015 15:59:37,1,Chasing,8,UL,WL,
1/27/2015 16:00:01,End,End,End,End,WL,
1/27/2015 16:01:23,Start,Start,Start,Start,BN,
1/27/2015 16:03:12,1,Fighting,"8, 11",NB5,BN,
1/27/2015 16:12:00,7,Fighting,1,LL,BN,
1/27/2015 16:16:15,1,Subordinate,"4, 6",MR,BN,"forceful grooming, freezing "
1/27/2015 16:21:41,7,Subordinate,1,UR,BN,
1/27/2015 16:23:01,7,Subordinate,4,UR,BN,
1/27/2015 16:30:27,1,Fighting,9,NB5,BN,
1/27/2015 16:30:44,7,Fighting,1,NB4,BN,
1/27/2015 16:42:20,7,Subordinate,9,LR,BN,
1/27/2015 17:00:19,End,End,End,End,BN,
1/28/2015 13:00:34,Start,Start,Start,Start,KP,
1/28/2015 13:05:09,1,"Fighting, Chasing",10,UL,KP,
1/28/2015 13:06:48,1,"Fighting, Chasing",10,ML,KP,
1/28/2015 13:07:17,1,Chasing,4,AllOver,KP,
1/28/2015 13:12:19,1,Fighting,9,UR,KP,
1/28/2015 13:18:59,1,Fighting,2,ML,KP,
1/28/2015 13:19:53,1,Fighting,4,UR,KP,
1/28/2015 13:23:08,1,Fighting,4,UL,KP,
1/28/2015 13:23:20,1,"Fighting, Chasing",10,UL,KP,
1/28/2015 13:27:18,7,Fighting,1,UL,KP,
1/28/2015 13:27:50,7,"Fighting, Chasing",3,LL,KP,
1/28/2015 13:32:12,7,"Fighting, Chasing",2,AllOver,KP,
1/28/2015 13:37:22,1,"Fighting, Chasing",8,MR,KP,
1/28/2015 13:57:58,2,"Fighting, Chasing",12,LL,KP,
1/28/2015 13:59:54,End,End,End,End,KP,
1/28/2015 14:00:54,Start,Start,Start,Start,KW,
1/28/2015 14:21:54,7,"Fighting, Chasing",3,LR,KW,
